Residuos Urbanos de las e-DMAs E-PRTR 2008;;;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;LER;Descripción LER;7 tablas;Tipo Residuo;Cantidad;Unidad
2008;F20814976;BECKER;2000000329;BECKER, S.COOP;Alegia;200399;Residuos municipales no especificados en otra categoría;D12;Urbano;58300;KG
2008;A20001020;CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES;2000000096;CAF-BEASAIN;Beasain;200108;Residuos biodegradables de cocinas y restaurantes;R13;Urbano;175000;KG
2008;B20814398;CALERA DE ALZO;2000001726;CALERA DE ALZO-ALZO;Altzo;150105;Envases compuestos;R13;Urbano;1000;KG
2008;B20814398;CALERA DE ALZO;2000001726;CALERA DE ALZO-ALZO;Altzo;030308;Residuos procedentes de la clasificación de papel y cartón destinados al reciclado;R1;Urbano;2000;KG
2008;A28036408;SOCIEDAD FINANCIERA Y MINERA;2000004647;CEMENTOS REZOLA AÑORGA;Donostia-San Sebastián;200101;Papel y cartón;R13;Urbano;760;KG
2008;B20879680;CORRUGADOS AZPEITIA;2000000168;CORRUGADOS AZPEITIA;Azpeitia;150103;Envases de madera;R13;Urbano;9000;KG
2008;B20879680;CORRUGADOS AZPEITIA;2000000168;CORRUGADOS AZPEITIA;Azpeitia;191201;Papel y cartón;R2;Urbano;8100;KG
2008;A20042883;CROMADOS ARRIZABALAGA;2000013492;CROMADOS ARRIZABALAGA;Deba;200301;Mezclas de residuos municipales;R13;Urbano;120;KG
2008;F20048351;EDERFIL;2000000943;EDERFIL, S.COOP.;Legorreta;200399;Residuos municipales no especificados en otra categoría;R13;Urbano;71100;KG
2008;A20025672;ELECTROQUIMICA DE HERNANI;2000000223;ELECTROQUIMICA DE HERNANI;Hernani;200301;Mezclas de residuos municipales;D12;Urbano;16830;KG
2008;F20025292;FAGOR EDERLAN;2000015435;ESKORIATZAKO BURDINA GALDATEGIA;Eskoriatza;200108;Residuos biodegradables de cocinas y restaurantes;R13;Urbano;16000;KG
2008;B20675518;ESNELAT;2000007255;ESNELAT, S.L.;Urnieta;150103;Envases de madera;R13;Urbano;53400;KG
2008;B20675518;ESNELAT;2000007255;ESNELAT, S.L.;Urnieta;150101;Envases de papel y cartón;R13;Urbano;386500;KG
