Contaminantes al AGUA de las e-DMAs E-PRTR ejercicio 2008 (Sumatorio cantidad másica por Contaminante);;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;Tipo;Contaminante;Descripción;Cod PRTR;Cantidad masica KG/Año
2008;B20032330;OBE HETTICH;2000004738;OBE Hettich, S.L. en Comandita;Aizarnazabal;Agua;020132;ZINC Y SUS COMPUESTOS;24;0,946
2008;B20032330;OBE HETTICH;2000004738;OBE Hettich, S.L. en Comandita;Aizarnazabal;Agua;021801;AMONIACO;(null);24,8537
2008;B20074829;HIERROS EGUINO;2000004756;HIERROS EGUINO;Azkoitia;Agua;020131;PLOMO Y SUS COMPUESTOS;23;698,745
2008;B20074829;HIERROS EGUINO;2000004756;HIERROS EGUINO;Azkoitia;Agua;022000;BICARBONATOS;(null);0
2008;B20074829;HIERROS EGUINO;2000004756;HIERROS EGUINO;Azkoitia;Agua;020114;MOLIBDENO;(null);203,133
2008;F20020517;FAGOR ELECTRODOMESTICOS;2000004894;PLANTA SAN ANDRES;Arrasate/Mondragón;Agua;031000;SOLIDOS EN SUSPENSION;(null);2654,85
2008;F20020517;FAGOR ELECTRODOMESTICOS;2000004895;PLANTA GARAGARTZA;Arrasate/Mondragón;Agua;020127;CROMO Y SUS COMPUESTOS;19;0,32
2008;F20025292;FAGOR EDERLAN;2000004901;ESKORIATZAKO ALUMINIO INJEKZIOA- POWER TRAIN;Eskoriatza;Agua;030700;DQO;(null);87351,824
2008;F20025292;FAGOR EDERLAN;2000004901;ESKORIATZAKO ALUMINIO INJEKZIOA- POWER TRAIN;Eskoriatza;Agua;020101;ALUMINIO;(null);28,6914
2008;F20025292;FAGOR EDERLAN;2000004902;URIBARRIKO BURDINA GALDATEGIA;Arrasate/Mondragón;Agua;010500;CADMIO Y SUS COMPUESTOS;18;0
2008;F20025292;FAGOR EDERLAN;2000004902;URIBARRIKO BURDINA GALDATEGIA;Arrasate/Mondragón;Agua;022100;NITRÓGENO TOTAL;12;0,00061
2008;F20025292;FAGOR EDERLAN;2000004902;URIBARRIKO BURDINA GALDATEGIA;Arrasate/Mondragón;Agua;020400;DETERGENTES. AGENTES TENSOACTIVOS EN GENERAL;(null);0,3052
2008;F20025292;FAGOR EDERLAN;2000004902;URIBARRIKO BURDINA GALDATEGIA;Arrasate/Mondragón;Agua;011004;BENZO(a)PIRENO (COMO PAH);(null);0
2008;F20026944;IRIZAR;2000004907;IRIZAR, S.COOP.;Ormaiztegi;Agua;021100;CLORUROS;79;461,93264
2008;F20026944;IRIZAR;2000004907;IRIZAR, S.COOP.;Ormaiztegi;Agua;011003;FLUORANTENO;88;0
2008;F20026944;IRIZAR;2000004907;IRIZAR, S.COOP.;Ormaiztegi;Agua;020600;COMPUESTOS INORGANICOS DE FOSFORO Y FOSFORO ELEMENTAL;(null);42,140108
2008;F20026944;IRIZAR;2000004907;IRIZAR, S.COOP.;Ormaiztegi;Agua;020128;COBRE Y SUS COMPUESTOS;20;0
2008;B01333574;GUARDIAN LLODIO UNO;0100000200;GUARDIAN LLODIO UNO, S.L.;Laudio/Llodio;Agua;030800;DBO5;(null);1245,51
2008;A01002716;OLAZABAL Y HUARTE;0100000205;OLAZABAL Y HUARTE;Vitoria-Gasteiz;Agua;010500;CADMIO Y SUS COMPUESTOS;18;0,02436
2008;A01002716;OLAZABAL Y HUARTE;0100000205;OLAZABAL Y HUARTE;Vitoria-Gasteiz;Agua;010100;COMPUESTOS ORGANOHALOGENADOS Y SUSTANCIAS QUE PUEDAN DAR ORIGEN A COMPUESTOS DE ESTA CLASE EN EL MEDIO ACUATICO;40;0,17052
2008;A48060057;CESPA CONTEN;4800005846;VERTEDERO LARRABETZU;Larrabetzu;Agua;031000;SOLIDOS EN SUSPENSION;(null);4245,71
2008;A48060057;CESPA CONTEN;4800005846;VERTEDERO LARRABETZU;Larrabetzu;Agua;021400;NITRATOS;(null);5975,5
